Row Labels,Sum of Confirmed,Column1,,,,,,,,,,,,
Norway Average,9132,,,,,,,,,,,,,
Oman,77058,,,,,,,,,,,,,
Oman Average,77058,,,,,,,,,,,,,
Pakistan,274289,,,,,,,,,,,,,
Pakistan Average,274289,,,,,,,,,,,,,
Panama,61442,,,,,,,,,,,,,
Panama Average,61442,,,,,,,,,,,,,
Papua New Guinea,62,,,,,,,,,,,,,
Papua New Guinea Average,62,,,,,,,,,,,,,
Paraguay,4548,,,,,,,,,,,,,
Paraguay Average,4548,,,,,,,,,,,,,
Peru,389717,,,,,,,,,,,,,
Peru Average,389717,,,,,,,,,,,,,
Philippines,82040,,,,,,,,,,,,,
Philippines Average,82040,,,,,,,,,,,,,
Poland,43402,,,,,,,,,,,,,
Poland Average,43402,,,,,,,,,,,,,
Portugal,50299,,,,,,,,,,,,,
Portugal Average,50299,,,,,,,,,,,,,
Qatar,109597,,,,,,,,,,,,,
Qatar Average,109597,,,,,,,,,,,,,
Romania,45902,,,,,,,,,,,,,
Romania Average,45902,,,,,,,,,,,,,
Russia,816680,,,,,,,,,,,,,
Russia Average,816680,,,,,,,,,,,,,
Rwanda,1879,,,,,,,,,,,,,
Rwanda Average,1879,,,,,,,,,,,,,
Saint Kitts and Nevis,17,,,,,,,,,,,,,
Saint Kitts and Nevis Average,17,,,,,,,,,,,,,
Saint Lucia,24,,,,,,,,,,,,,
Saint Lucia Average,24,,,,,,,,,,,,,
Saint Vincent and the Grenadines,52,,,,,,,,,,,,,
Saint Vincent and the Grenadines Average,52,,,,,,,,,,,,,
San Marino,699,,,,,,,,,,,,,
San Marino Average,699,,,,,,,,,,,,,
Sao Tome and Principe,865,,,,,,,,,,,,,
Sao Tome and Principe Average,865,,,,,,,,,,,,,
Saudi Arabia,268934,,,,,,,,,,,,,
Saudi Arabia Average,268934,,,,,,,,,,,,,
Senegal,9764,,,,,,,,,,,,,
Senegal Average,9764,,,,,,,,,,,,,
Serbia,24141,,,,,,,,,,,,,
Serbia Average,24141,,,,,,,,,,,,,
Seychelles,114,,,,,,,,,,,,,
Seychelles Average,114,,,,,,,,,,,,,
Sierra Leone,1783,,,,,,,,,,,,,
Sierra Leone Average,1783,,,,,,,,,,,,,
Singapore,50838,,,,,,,,,,,,,
Singapore Average,50838,,,,,,,,,,,,,
Slovakia,2181,,,,,,,,,,,,,
Slovakia Average,2181,,,,,,,,,,,,,
Slovenia,2087,,,,,,,,,,,,,
Slovenia Average,2087,,,,,,,,,,,,,
Somalia,3196,,,,,,,,,,,,,
Somalia Average,3196,,,,,,,,,,,,,
South Africa,452529,,,,,,,,,,,,,
South Africa Average,452529,,,,,,,,,,,,,
South Korea,14203,,,,,,,,,,,,,
South Korea Average,14203,,,,,,,,,,,,,
South Sudan,2305,,,,,,,,,,,,,
South Sudan Average,2305,,,,,,,,,,,,,
Spain,272421,,,,,,,,,,,,,
Spain Average,272421,,,,,,,,,,,,,
Sri Lanka,2805,,,,,,,,,,,,,
Sri Lanka Average,2805,,,,,,,,,,,,,
Sudan,11424,,,,,,,,,,,,,
Sudan Average,11424,,,,,,,,,,,,,
Suriname,1483,,,,,,,,,,,,,
Suriname Average,1483,,,,,,,,,,,,,
Sweden,79395,,,,,,,,,,,,,
Sweden Average,79395,,,,,,,,,,,,,
Switzerland,34477,,,,,,,,,,,,,
Switzerland Average,34477,,,,,,,,,,,,,
Syria,674,,,,,,,,,,,,,
Syria Average,674,,,,,,,,,,,,,
Taiwan*,462,,,,,,,,,,,,,
Taiwan* Average,462,,,,,,,,,,,,,
Tajikistan,7235,,,,,,,,,,,,,
Tajikistan Average,7235,,,,,,,,,,,,,
Tanzania,509,,,,,,,,,,,,,
Tanzania Average,509,,,,,,,,,,,,,
Thailand,3297,,,,,,,,,,,,,
Thailand Average,3297,,,,,,,,,,,,,
Timor-Leste,24,,,,,,,,,,,,,
Timor-Leste Average,24,,,,,,,,,,,,,
Togo,874,,,,,,,,,,,,,
Togo Average,874,,,,,,,,,,,,,
Trinidad and Tobago,148,,,,,,,,,,,,,
Trinidad and Tobago Average,148,,,,,,,,,,,,,
Tunisia,1455,,,,,,,,,,,,,
Tunisia Average,1455,,,,,,,,,,,,,
Turkey,227019,,,,,,,,,,,,,
Turkey Average,227019,,,,,,,,,,,,,
Uganda,1128,,,,,,,,,,,,,
Uganda Average,1128,,,,,,,,,,,,,
Ukraine,67096,,,,,,,,,,,,,
Ukraine Average,67096,,,,,,,,,,,,,
United Arab Emirates,59177,,,,,,,,,,,,,
United Arab Emirates Average,59177,,,,,,,,,,,,,
United Kingdom,301708,,,,,,,,,,,,,
United Kingdom Average,301708,,,,,,,,,,,,,
Uruguay,1202,,,,,,,,,,,,,
Uruguay Average,1202,,,,,,,,,,,,,
US,4290259,,,,,,,,,,,,,
US Average,4290259,,,,,,,,,,,,,
Uzbekistan,21209,,,,,,,,,,,,,
